id,ns1:name,ns1:id,ns1:scale,ns1:href,x,y,xunits,yunits,ns1:LabelStyle,ns1:color,ns1:width,ns1:color2,ns1:BalloonStyle,id3,ns1:key,ns1:styleUrl,id4,ns1:name5,ns1:open,ns1:styleUrl6,id7,ns1:name8,ns1:longitude,ns1:latitude,ns1:altitude,ns1:heading,ns1:tilt,ns2:fovy,ns1:range,ns1:altitudeMode,ns1:styleUrl9,ns1:coordinates
1LwIyjK85npCXRou8dCOKt_6zalaSv16c,5GPLAN_Google_Earth,,,,,,,,,,,,,,,,09A2105847347F8A3FCA,RRH,1,#__managed_style_0DA1C560CD347FAAACD5,05B64E084B347FC59DF8,2500805,0.631034197,41.61843172,173.118669,359.1234183,0,35,1014.273442,absolute,#__managed_style_0DA1C560CD347FAAACD5,"0.6285343009362321,41.61869467722015,173.4878444150242"
1LwIyjK85npCXRou8dCOKt_6zalaSv16c,5GPLAN_Google_Earth,,,,,,,,,,,,,,,,09A2105847347F8A3FCA,RRH,1,#__managed_style_0DA1C560CD347FAAACD5,050294A234347FC73573,CATR9408AY,0.628434165,41.61632326,145.5949427,359.1234145,0,35,365.2888164,absolute,#__managed_style_0DA1C560CD347FAAACD5,"0.6279635369006975,41.61581256331507,168.9642701863953"
1LwIyjK85npCXRou8dCOKt_6zalaSv16c,5GPLAN_Google_Earth,,,,,,,,,,,,,,,,09A2105847347F8A3FCA,RRH,1,#__managed_style_0DA1C560CD347FAAACD5,00575EB0DC347FC8618F,2500352,0.626711041,41.61501328,170.813881,359.1234083,0,35,409.9164264,absolute,#__managed_style_0DA1C560CD347FAAACD5,"0.6263373315600296,41.61470157822499,171.924118090791"
1LwIyjK85npCXRou8dCOKt_6zalaSv16c,5GPLAN_Google_Earth,,,,,,,,,,,,,,,,09A2105847347F8A3FCA,RRH,1,#__managed_style_0DA1C560CD347FAAACD5,0098517D57347FC8AB52,079977,0.626329685,41.61461348,168.2626329,359.1234071,0,35,412.4676775,absolute,#__managed_style_0DA1C560CD347FAAACD5,"0.6257348552483299,41.61425301649395,164.8719384761382"
1LwIyjK85npCXRou8dCOKt_6zalaSv16c,5GPLAN_Google_Earth,,,,,,,,,,,,,,,,09A2105847347F8A3FCA,RRH,1,#__managed_style_0DA1C560CD347FAAACD5,035C606769347FC6D1F8,1B2L5302,0.629339618,41.61699685,156.880571,359.123417,0,35,354.0031565,absolute,#__managed_style_0DA1C560CD347FAAACD5,"0.6289406987066082,41.61680562831758,170.8998675824637"
1LwIyjK85npCXRou8dCOKt_6zalaSv16c,5GPLAN_Google_Earth,,,,,,,,,,,,,,,,09A2105847347F8A3FCA,RRH,1,#__managed_style_0DA1C560CD347FAAACD5,0BA7B814D5347FC9683A,2500426,0.624958745,41.61377167,164.1576198,359.1234013,0,35,379.8545469,absolute,#__managed_style_0DA1C560CD347FAAACD5,"0.625266967225524,41.61360201646474,169.8791185453638"
1LwIyjK85npCXRou8dCOKt_6zalaSv16c,5GPLAN_Google_Earth,,,,,,,,,,,,,,,,09A2105847347F8A3FCA,RRH,1,#__managed_style_0DA1C560CD347FAAACD5,0CCBD193B5347FCA4BAB,2500283,0.623472322,41.61313193,149.7745982,359.1233991,0,35,505.7900562,absolute,#__managed_style_0DA1C560CD347FAAACD5,"0.6229506294334297,41.61212509711611,167.3277784566861"
1LwIyjK85npCXRou8dCOKt_6zalaSv16c,5GPLAN_Google_Earth,,,,,,,,,,,,,,,,09A2105847347F8A3FCA,RRH,1,#__managed_style_0DA1C560CD347FAAACD5,0E9774B2AA347FC9C31B,CATR9861A,0.624958745,41.61377167,164.1576198,359.1234013,0,35,379.8545469,absolute,#__managed_style_0DA1C560CD347FAAACD5,"0.6244753279458148,41.61362334800187,165.0172709788483"
1LwIyjK85npCXRou8dCOKt_6zalaSv16c,5GPLAN_Google_Earth,,,,,,,,,,,,,,,,09A2105847347F8A3FCA,RRH,1,#__managed_style_0DA1C560CD347FAAACD5,02E9B67465347FCB8323,143725,0.619580008,41.61353543,188.8508158,359.1233883,0,35,375.1432827,absolute,#__managed_style_0DA1C560CD347FAAACD5,"0.6183961564645046,41.61342013426714,181.5750704527205"
1LwIyjK85npCXRou8dCOKt_6zalaSv16c,5GPLAN_Google_Earth,,,,,,,,,,,,,,,,09A2105847347F8A3FCA,RRH,1,#__managed_style_0DA1C560CD347FAAACD5,0FD317E08F347FCC2474,CATR9401AY,0.62110035,41.61520053,174.2773959,359.1233849,0,35,245.1344262,absolute,#__managed_style_0DA1C560CD347FAAACD5,"0.6211793567934687,41.61525003753067,198.3798570515835"
