BBU_ID,BBU_Latitude,BBU_Longitude,RRH_id,RRH_Latitude,RRH_Longitude,RRH_Type,Distance_meters
8,41.45370116666666,0.7252679999999998,2501071,41.446431,0.7419889999999999,mixed,1611.0986256435733
8,41.45370116666666,0.7252679999999998,101483,41.469767,0.6963969999999999,office,2996.537117650113
8,41.45370116666666,0.7252679999999998,2500249,41.466842,0.687639,office,3459.407371808069
9,41.617368728965026,0.6213025692552843,2500867,41.61331440655809,0.6130405802878092,mixed,821.569991086064
9,41.617368728965026,0.6213025692552843,CATR9406H,41.61352653486638,0.6130089224857094,residential,811.1021064432806
9,41.617368728965026,0.6213025692552843,CATR9404C,41.62362433652046,0.6210638411641867,residential,695.874830078103
9,41.617368728965026,0.6213025692552843,CATR9408AY,41.61581256331507,0.6279635369006975,mixed,580.1332667399784
9,41.617368728965026,0.6213025692552843,2500179,41.62268606180444,0.6231129562803939,residential,610.1114350251987
9,41.617368728965026,0.6213025692552843,2500157,41.61707766955404,0.6124844372004667,mixed,733.7579977886287
9,41.617368728965026,0.6213025692552843,2500283,41.61212509711611,0.6229506294334297,mixed,598.9457784891238
9,41.617368728965026,0.6213025692552843,2500543,41.62153353397901,0.6246171382472965,residential,538.871032636012
9,41.617368728965026,0.6213025692552843,251207,41.6225670049887,0.6188207264714962,mixed,613.7352679083974
9,41.617368728965026,0.6213025692552843,2500352,41.61470157822499,0.6263373315600296,residential,512.9662561048473
9,41.617368728965026,0.6213025692552843,2500973,41.61837578021468,0.6190965257641201,office,214.87028557932035
9,41.617368728965026,0.6213025692552843,2500254,41.61900948479083,0.6195679102044016,office,232.5488007900907
9,41.617368728965026,0.6213025692552843,2500325,41.61717375204887,0.6172431431528369,office,338.1521535350118
9,41.617368728965026,0.6213025692552843,2500428,41.61789215965838,0.6169199135211567,mixed,368.94400525777803
9,41.617368728965026,0.6213025692552843,CATR9403C,41.61997736138284,0.6210546192166211,mixed,290.79806611622286
9,41.617368728965026,0.6213025692552843,2500003,41.613854655101,0.619151259147166,mixed,429.7295545372386
9,41.617368728965026,0.6213025692552843,143725,41.61342013426714,0.6183961564645046,mixed,501.15316699728663
9,41.617368728965026,0.6213025692552843,754,41.62127556590794,0.6184021279354823,residential,496.8420004928859
9,41.617368728965026,0.6213025692552843,CATR9861A,41.61362334800187,0.6244753279458148,residential,492.9626726161565
9,41.617368728965026,0.6213025692552843,2500331,41.62185726776128,0.6179501760519046,office,571.6303346142226
9,41.617368728965026,0.6213025692552843,79977,41.61425301649395,0.62573485524833,mixed,505.75839847045137
9,41.617368728965026,0.6213025692552843,2500253,41.61697199004963,0.6131241692395495,residential,681.2938505206512
9,41.617368728965026,0.6213025692552843,2500426,41.61360201646474,0.625266967225524,residential,532.9541146721267
9,41.617368728965026,0.6213025692552843,2500406,41.61763959107632,0.6331040292350165,mixed,981.503375840546
9,41.617368728965026,0.6213025692552843,2500418,41.61888641462638,0.6320388215468409,residential,908.2982233040651
9,41.617368728965026,0.6213025692552843,1B2L5302,41.61680562831758,0.6289406987066082,mixed,638.032382595659
10,41.455922,0.627032,2500384,41.479361,0.622972,mixed,2628.1602083807697
10,41.455922,0.627032,CATR5672A,41.434047,0.6537,mixed,3295.049377518115
10,41.455922,0.627032,2500558,41.434047,0.6537,residential,3295.049377518115
10,41.455922,0.627032,2500152,41.428522,0.595472,residential,4025.2971121318915
10,41.455922,0.627032,106128,41.42831899999999,0.5952999999999999,mixed,4051.7564918252215
10,41.455922,0.627032,2500560,41.492883,0.665878,mixed,5231.17652758046
10,41.455922,0.627032,2500560,41.492883,0.665878,mixed,5231.17652758046
10,41.455922,0.627032,2500315,41.457314,0.563356,office,5308.749759950817
11,41.6155847,0.8669036,2500307,41.674283,0.8559559999999999,mixed,6590.039718313779
11,41.6155847,0.8669036,131903,41.579611,0.826194,office,5240.249525909035
11,41.6155847,0.8669036,2500199,41.580053,0.8317939999999999,mixed,4912.585771236476
11,41.6155847,0.8669036,CATR5661A,41.584575,0.8845,mixed,3745.7156107116325
11,41.6155847,0.8669036,CATR5324A,41.630194,0.898222,mixed,3068.5194884751295
11,41.6155847,0.8669036,79575,41.628625,0.895281,residential,2768.850372487253
11,41.6155847,0.8669036,CATR5362A,41.596411,0.8802559999999998,mixed,2403.7412612616904
11,41.6155847,0.8669036,2500140,41.635067,0.873597,residential,2236.6314103717596
11,41.6155847,0.8669036,2500289,41.622711,0.8392189999999998,residential,2433.932066927033
11,41.6155847,0.8669036,CATR5414A,41.624317,0.884017,office,1722.353131217578
12,41.65316570942915,0.49491983034025167,CATR5622A,41.68647530068011,0.4821253749419485,residential,3853.3029957301924
12,41.65316570942915,0.49491983034025167,CATR9508A,41.67439517320711,0.4786058103656465,office,2721.950897943475
12,41.65316570942915,0.49491983034025167,CATR9502A,41.622742,0.3983939999999999,residential,8705.709913244955
12,41.65316570942915,0.49491983034025167,2500079,41.64085537177045,0.5592397889191258,residential,5516.909072389678
12,41.65316570942915,0.49491983034025167,CATR9804B,41.6413607014881,0.5562341774745372,office,5261.0242150081385
13,41.52004,0.3758805,CATR5358A,41.462594,0.4033999999999999,residential,6786.503732428579
13,41.52004,0.3758805,2200584,41.535583,0.418333,residential,3933.9143611530876
13,41.52004,0.3758805,2200601,41.532531,0.417453,mixed,3729.07094685489
13,41.52004,0.3758805,78844,41.521278,0.336611,mixed,3272.220346109761
13,41.52004,0.3758805,2200287,41.521806,0.337083,office,3235.9783372602983
13,41.52004,0.3758805,2200042,41.522667,0.343194,residential,2736.869658778134
13,41.52004,0.3758805,ARAR7507A,41.523997,0.351842,mixed,2049.0459585139274
13,41.52004,0.3758805,560,41.528222,0.392972,mixed,1688.8561572625447
13,41.52004,0.3758805,2200203,41.528194,0.392361,office,1644.5122621167018
13,41.52004,0.3758805,2200599,41.523528,0.3655559999999999,residential,942.9888099781407
14,41.6609985679032,0.6653366358222905,78977,41.65460798406813,0.6902809720458936,residential,2190.745434600386
14,41.6609985679032,0.6653366358222905,1B9L0037,41.694103,0.692622,mixed,4322.642568264185
14,41.6609985679032,0.6653366358222905,2500726,41.65415443522285,0.6912004439818631,office,2279.4830909950606
14,41.6609985679032,0.6653366358222905,CATR5323A,41.694489,0.691175,office,4298.003059334834
14,41.6609985679032,0.6653366358222905,2500345,41.64418681188389,0.6922486632854796,mixed,2914.4548775375897
14,41.6609985679032,0.6653366358222905,2500061,41.702778,0.7428779999999999,residential,7940.344749706591
14,41.6609985679032,0.6653366358222905,51951,41.66687949730064,0.6062830777575678,mixed,4948.909107057121
14,41.6609985679032,0.6653366358222905,2500227,41.66419732255933,0.6053491222620466,mixed,4995.879194632194
14,41.6609985679032,0.6653366358222905,2500615,41.61671240924075,0.6200948704093734,mixed,6195.532993737221
14,41.6609985679032,0.6653366358222905,2500410,41.61787721875641,0.621234208480681,office,6035.11158184528
15,41.57144857830118,0.6762240312000432,2500250,41.554889,0.7031940000000001,residential,2902.6684858043377
15,41.57144857830118,0.6762240312000432,CATR9813C,41.58393473847209,0.7274447822165042,mixed,4481.0608156358285
15,41.57144857830118,0.6762240312000432,CATR5659A,41.584164,0.727417,residential,4486.824412952994
15,41.57144857830118,0.6762240312000432,549,41.546436,0.722183,office,4728.456538607346
15,41.57144857830118,0.6762240312000432,2500008,41.59359934730868,0.7201729198058349,office,4407.785394967501
15,41.57144857830118,0.6762240312000432,2500089,41.546186,0.698167,office,3350.260514841176
15,41.57144857830118,0.6762240312000432,2500350,41.57174691179195,0.6049972318126273,mixed,5925.303387211182
15,41.57144857830118,0.6762240312000432,2500097,41.55860636885971,0.6142045367834159,residential,5353.753088311117
15,41.57144857830118,0.6762240312000432,550,41.5596733790487,0.6232804845885798,mixed,4595.1657714246585
15,41.57144857830118,0.6762240312000432,CATR9401AY,41.61525003753067,0.6211793567934687,mixed,6683.96381441383
16,41.498751166666665,0.8500986666666667,CATR9805E,41.505183,0.8467610000000001,residential,767.300775978696
16,41.498751166666665,0.8500986666666667,CATR9313A,41.509669,0.839897,residential,1481.733251880197
16,41.498751166666665,0.8500986666666667,CATR9446F,41.548539,0.8366389999999999,residential,5648.411709657975
16,41.498751166666665,0.8500986666666667,2500197,41.5496,0.8255889999999999,office,6011.028414823449
16,41.498751166666665,0.8500986666666667,CATR9553A,41.448397,0.897639,mixed,6858.424691638008
16,41.498751166666665,0.8500986666666667,85852,41.431119,0.8540669999999999,office,7527.619726775044
17,41.614233661123016,0.6468604535087692,2500933,41.62386764989858,0.6960076740390275,office,4223.563630017325
17,41.614233661123016,0.6468604535087692,CATR5402A,41.63763126656711,0.6857246533798533,residential,4147.738095051423
17,41.614233661123016,0.6468604535087692,2500178,41.61256593399675,0.6793679459384294,residential,2708.8356760955326
17,41.614233661123016,0.6468604535087692,CATR5628A,41.63002468678612,0.6244868760500877,residential,2557.696345554682
17,41.614233661123016,0.6468604535087692,2500127,41.62557787335988,0.6252881245795927,mixed,2192.4409491185215
17,41.614233661123016,0.6468604535087692,CATR5647A,41.60951882182135,0.6715580832506918,mixed,2119.1379123334486
17,41.614233661123016,0.6468604535087692,CATR9414AY,41.62331067833573,0.6257740091520092,mixed,2022.678523610121
17,41.614233661123016,0.6468604535087692,143059,41.62593312935647,0.6293434493832972,residential,1952.6010407223346
17,41.614233661123016,0.6468604535087692,CATR9490A,41.60971442661454,0.6675464565890121,mixed,1791.6646505995059
17,41.614233661123016,0.6468604535087692,CATR9530A,41.5986794253603,0.653428460844685,residential,1813.7139450616041
17,41.614233661123016,0.6468604535087692,2500804,41.61545040756819,0.6447333741483718,mixed,222.65097455838094
17,41.614233661123016,0.6468604535087692,2500388,41.61370944795806,0.6553589779386693,mixed,708.9112874795442
17,41.614233661123016,0.6468604535087692,CATR9411Z,41.60967192023799,0.6365136436276009,mixed,998.6115168558084
17,41.614233661123016,0.6468604535087692,14279,41.6103074925036,0.6342050188587267,mixed,1139.0971559884413
17,41.614233661123016,0.6468604535087692,14279,41.61024830095956,0.6342341658556028,mixed,1139.4035684058476
17,41.614233661123016,0.6468604535087692,2500047,41.61046598601153,0.6326444792638197,mixed,1253.909268311342
17,41.614233661123016,0.6468604535087692,65334,41.60370284990187,0.6420619032196795,mixed,1237.0686128373366
17,41.614233661123016,0.6468604535087692,CATR9412P,41.60321681825945,0.6444186003795016,mixed,1241.7254949286935
17,41.614233661123016,0.6468604535087692,CATR5644A,41.61876299828523,0.6296359217911096,residential,1517.868255669966
17,41.614233661123016,0.6468604535087692,2500271,41.60906300829745,0.663713554076133,residential,1514.4845860418072
17,41.614233661123016,0.6468604535087692,CATR5635A,41.60030352373233,0.6441731682227436,mixed,1564.9914506689195
17,41.614233661123016,0.6468604535087692,CATR9419C,41.60026258787991,0.6445564096791334,mixed,1565.2786652214484
17,41.614233661123016,0.6468604535087692,2500805,41.61869467722015,0.6285343009362321,office,1602.1781615296877
17,41.614233661123016,0.6468604535087692,2501016,41.60881977912494,0.664914080597887,residential,1617.141419353447
17,41.614233661123016,0.6468604535087692,78625,41.62633783803842,0.613288005917334,mixed,3098.323549356368
18,41.709786333333334,0.33337066666666665,ARAR7695A,41.706028,0.321806,mixed,1047.025423063801
18,41.709786333333334,0.33337066666666665,107968,41.706028,0.321806,residential,1047.025423063801
18,41.709786333333334,0.33337066666666665,2200058,41.717303,0.3564999999999999,residential,2093.896459352081
19,41.384832333333335,0.32293599999999995,2200036,41.373489,0.320028,mixed,1284.4454782419457
19,41.384832333333335,0.32293599999999995,ARAR5136A,41.365094,0.297097,mixed,3076.6207396635136
19,41.384832333333335,0.32293599999999995,CATR5469A,41.415914,0.351683,residential,4206.412647807242
20,41.63703219702477,0.5792817621869019,2500449,41.692267,0.5304249999999999,office,7361.586250418403
20,41.63703219702477,0.5792817621869019,g,41.66491278613402,0.5254823213803772,mixed,5439.822336906144
20,41.63703219702477,0.5792817621869019,2500062,41.6525449852712,0.5255237389528689,office,4788.429702953359
20,41.63703219702477,0.5792817621869019,2500319,41.61017937329684,0.6161501092546651,mixed,4278.660654647977
20,41.63703219702477,0.5792817621869019,2500361,41.61174621931842,0.614739017616448,residential,4073.2682568101
20,41.63703219702477,0.5792817621869019,27960,41.61242063864179,0.6136169699272065,residential,3954.0240469056475
20,41.63703219702477,0.5792817621869019,2500704,41.60131359170315,0.5807148894169667,residential,3973.5139510577114
20,41.63703219702477,0.5792817621869019,2500403,41.61287133902815,0.6101994272299494,residential,3717.763667701595
20,41.63703219702477,0.5792817621869019,2500193,41.66595044116897,0.5574858449359343,residential,3690.4262142563293
20,41.63703219702477,0.5792817621869019,CATR5384A,41.66742289511699,0.5699561903185146,mixed,3466.977793940459
20,41.63703219702477,0.5792817621869019,CATR9703A,41.63060588272607,0.5967253994129451,office,1616.2457436729842
20,41.63703219702477,0.5792817621869019,2500972,41.64973427722833,0.5673111648626539,mixed,1727.5199351327344
20,41.63703219702477,0.5792817621869019,52182,41.62261341488203,0.5664728064411095,mixed,1924.5538034801327
20,41.63703219702477,0.5792817621869019,CATR5642A,41.63062588020795,0.6072203835553447,mixed,2428.7313949418503
20,41.63703219702477,0.5792817621869019,2500545,41.63027423064788,0.6072031694985447,office,2439.1312169361704
